Unnamed: 0,author,comment,translated_comment
451,masrur_asyrofi,Setuju e-parkir,Setuju dengan parkir elektronik
452,alfanzain.id,Njaluk pemimpin e ora korupsi. RAKYATE DEWE HOBINE YO KORUPSI ??????????,Minta pemimpinnya untuk tidak melakukan korupsi. MASYARAKAT PUNYA HOBI KORUPSI SENDIRI??????????
453,mohamadaxel,"nahhh klo kaya gini enak, jdi harga buat parkir ngga seenaknya sndiri wkwk","Nah, kalau bagus seperti ini, maka harga parkirnya tidak sepadan"
454,f3_ndra,"Helih lagek iki mau isuk enek acara TK ning alon2..... Motor ditarik 3000,tak lokne mung mesam mesem jukir e..... Nemen lak golek bathiii","Eh besok pagi mau ada acara TK..... Motornya ditarik 3000 gak worth it, aku cuma senyum-senyum aja....."
455,chukyt,Jumlah Peningkatannya itu yg biasa nya masuk ke jukir tuh ??,Besaran kenaikan yang biasa masuk ke jukir??
456,snailmucica,"Pernah arep tuku klambi ning ninetynine tp ora enek sg digoleki, metu sek bayar parkir,..","Pernahkah Anda ingin membeli pakaian di tahun sembilan puluh sembilan tetapi Anda tidak mau mencarinya, Anda keluar setelah membayar parkir.."
457,ratnayas,Pakai e-card aja yang lgsung tempel gtu,Gunakan saja e-card yang Anda tempel
458,vickyalin.10,Data lengkapnya ada min ?,Apakah Anda memiliki data lengkapnya?
459,muh_6992,Lebih baik di makan rakyat dari pada di makan wakil rakyat.??,Lebih baik memakan rakyat dari pada memakan wakil rakyat.??
460,dana_pradan,"Sudah keliatan kan punglinya, sblm e-parking PAD 71jt, setelah e-parking naik 134 juta.. Ternyata bukan oknum pejabat ae sing seneng duit panas, kebanyakan jukir juga senengan e pungli... Makane diterapkan e-parking menolak,, ketar ketir pemasukan menurun mergo wes gaiso pungli neh sing jukir nakal....","Sudah terlihat, sebelum e-parking PAD 71 juta, setelah e-parking naik menjadi 134 juta. Ternyata bukan pejabatnya yang suka uang panas, sebagian besar jukir juga suka e-parking.. Itu dia. kenapa e-parking diterapkan, mereka menolak pendapatannya berkurang karena kami mencari orang yang nakal...."
461,ismaisma04,Jaman pasar malem wingi..parkir ditekok i byar pinten pak..sak ikhlas e mboso diwei rongewu lek ngomng jane telungewu lo mbk ??????????????,Saat pasar malam tadi malam.. Saya diminta bayar parkirnya berapa pak.
462,windy_imnida,Itu lah alasan knapa saya muales lak kon metu2???? . Mandek pirang nggon parkir e wes muni .. Po mneh lak tmpat e rame saiki rata2 3k??,Itu sebabnya saya merasa mual saat keluar???? . Berhenti lama di tempat parkir.. Apakah tempat itu ramai?
463,anggaraffiq,"Nah nek wes akeh hasile, tulung ojo di korup.","Nah, kalau untung banyak, tolong jangan korupsi."
464,add_zim,Lagian bahu jalan buat parkir ya paling gak tertibkan garis sepadan jalan atau berikan fasilitas parkir. Klo bahu jalan seakan mau uangnya saja fasilitasnya gak diberikan. kan parkir itu jualan fasilitas. Tolong lah plisss. PAD itu juga harus sejalan dengan peraturan.,"Gunakan selalu bahu jalan untuk parkir, minimal atur jalurnya agar sesuai dengan jalan atau sediakan fasilitas parkir. Kalau mau uang, fasilitasnya tidak disediakan. parkirnya jual fasilitas. Ku mohon. PAD juga harus sejalan dengan regulasi."
465,seratan_jawi,"iki wìs ar?p event gr?b?g surå , area al?n² wajib e-parking , bén ora meresahkan???? @dishubpng","ini acara gr?b?g surå, e-parking wajib di area jalan, bukankah itu menjadi perhatian???? @dishubpng"
466,darmawanathan27,"trus..pajak meningkat, fasilitas harus meningkat jg nggih..","lalu..pajak naik, fasilitas harus ditingkatkan juga.."
467,mrizalrotim44,Mohon tukang parkir kalok niat parkir,Silakan bertanya kepada petugas parkir jika Anda berniat parkir
468,itsmeolv_,Setujuuu pollllll. Aku ndue RM yoan tukang parkirku gae ne ngentit ?? tak jamin parkir pinggir dalan yo ngnoo. Wajib E-Parking ????????,"Setuju jajak pendapat. Saya punya RM, bagaimana dengan petugas parkir saya? Saya tidak menjamin parkir di pinggir jalan. E-Parkir Wajib ????????"
469,itsmeolv_,Sing nolak2 kon prei ae dadi jukir ????,Yang menolak jadi juker????
470,karleshaaa._,@ismaisma04 sek mending mba 3 rb pas rme rme e 5rb wkk,@ismaisma04 tolong kasih saya 3 miliar padahal 5 miliar wkk
471,ismaisma04,@itzsgaa_ wkwkwwk..mlahan ??,@itzsgaa_ wkwkwwk.. benarkah??
472,dianhadinurrohim,Joss lah .. biar ngga dipalakin parkir liar ??,Joss.. biar gak dituduh parkir liar??
473,denispariwara,@es_mawe setuju Bang,@es_mawe setuju gan
474,denispariwara,"Mungkin masih banyak jukir yang lebih berkompeten, cekatan cak cek","Mungkin masih banyak jukir yang lebih berkompeten, pinter abang cek"
475,tatan.t,"Ya perlu edukasi ae toh, titik ribet te ae, padahal lek wes berlajalan sistem e Yo mempermudah semua e ??????","Ya pokoknya butuh pendidikan, ribet pokoknya, padahal harus lewat sistem, semua jadi lebih mudah??????"
476,mrshl.gngsrsputra,Ebes melbu ig coy????,Ebes melbu ig malu-malu????
477,black_sheep.id,Wih 134-71 selisih pinten niku,"Ya, 134-71 bedanya"
478,aheunaegawijaya,@itsmeolv_ keras men ajae mbak,@itsmeolv_ susah bu
479,regytaaprylia,"@niken.laa sabar mbak , ben dibales si ng nduwur??","@niken.laa sabar ya bu, yang di atas sudah terjawab??"
480,op_bensin,Bukan ribet tapi ceperan ne kurang ??,"Ga ribet, tapi lebih murah??"
481,_lookatmoo,Apakah praktik korupsi dimulai dari sini??? selisih 63 jutaan????,Apakah praktek korupsi dimulai dari sini??? Selisih 63 juta????
482,anggara.54,Lanjutkan untuk e-parking nya??,Lanjutkan untuk e-parking??
483,sutokoima,Di moborobo parkir mobil ja ditarik 5.000 ... ??,5.000 ditarik dari tempat parkir mobil di Moborobo...??
484,wijaya_heng,Rubicon,Rubikon
485,Zumaro Qoirul,"betul, semangat perubahan.. ??","ya, semangat perubahan..??"
486,Hendro Setyawan,"itu masih belum seberapa, coba kalo sudah full di model kayak e toll harus top up saldo dulu . tp mudahnya gak ribet masalah jujul. hehe. btw bayar via sopipay/gopay bisa gak","itu masih belum seberapa, coba kalau full di model seperti e-toll harus top up saldo dulu. tapi mudahnya tidak ada masalah dengan jujul. ha ha. btw bisa bayar lewat sopipay/gopay?"
487,Putra Reog,Akan lebih baik jika diberi pelatihan dulu ...??,Akan lebih baik jika mereka diberi pelatihan terlebih dahulu...??
488,Fadillah,Ntar lama lama juga terbiasa... Semua itu butuh waktu... ????????,Butuh waktu lama untuk membiasakannya... Semua itu butuh waktu... ????????
489,Ariz Tiany,belum terbiasa jadi masih ribet,Saya belum terbiasa jadi masih rumit
490,Saidhan Efendi,Ribet karena blm terbiasa dan banyak jukirnya sudah ber umur...jadinya gaptek..,Rumit karena belum terbiasa dan banyak potongannya yang sudah tua.. jadi membingungkan..
491,Indra W P,Lanjutkannnn ??,Melanjutkan??
492,Aji Ji,"Sebelum menuntut gaji UMK Ponorogo, harusnya menuntut pembekalan dan SOP apa saja yang harus diperhatikan. Gaji UMK tapi ga mau sesuai SOP ??","Sebelum menuntut gaji UMK Ponorogo, sebaiknya mereka meminta pasokan dan SOP yang harus diperhatikan. Gaji UMK tapi tidak sesuai SOP??"
493,Entop Tawon,Adakan pelatihan buat jukirnya biar sat set das des gak ngantri kaya di SPBU. Tdk semua pelanggan parkir nyantai tapi ada yg buru2 cepat sampai drmh atau punya 7an lain.,"Melakukan pelatihan kepada para pengemudi agar tidak perlu mengantri seperti di SPBU. Tidak semua pelanggan parkir santai, namun ada yang terburu-buru menuju ke sana atau ada 7 orang lainnya."
494,Advan Putra,"Jangan hanya diajari cara penggunaan alat elektronik parking, tp juga diajari cara parkir kendaraan yg baik dan benar.","Jangan hanya sekedar mengajari mereka cara menggunakan alat parkir elektronik saja, tapi ajarkan juga cara memarkir kendaraan dengan baik dan benar."
495,Indrayani Crochet,Jajal parkir online aah....,Tes parkir online...
496,Jalu Rayhandra,Wong kesepakatane Podo nolak la kok ngene akhire ????,"Podo setuju untuk menolaknya, kenapa dia berakhir seperti ini????"
497,Danang TW,"Intine
Lek noto amrih pemasukan daerah meningkat (mengurangi/meniadakan kebocoran) 
Oke oke wae

Asal imbal balike ke masyarakat juga ikut meningkat ????????","Intinya adalah
Cara meningkatkan pendapatan daerah (mengurangi/menghilangkan kebocoran) 
Baiklah baiklah

Asal usul kembali ke masyarakat juga meningkat ????????"
498,Dony S,Koyo tau ra asing seng numpak montor kui...,Rasanya seperti orang asing mengendarai mobil...
499,Sighit Krestiyawan,"Enek sing luweh penting dari sekedar E, yo iku ora ngilang nek pas parkir, tapi teko pas arep mbayar ????","Yang lebih penting dari sekedar E ya, gak hilang pas parkir, tapi pas mau bayar????"
500,Zumaro Qoirul,"betul, semangat perubahan.. ??","ya, semangat perubahan..??"
501,Ariz Tiany,belum terbiasa jadi masih ribet,Saya belum terbiasa jadi masih rumit
502,Hendro Setyawan,"itu masih belum seberapa, coba kalo sudah full di model kayak e toll harus top up saldo dulu . tp mudahnya gak ribet masalah jujul. hehe. btw bayar via sopipay/gopay bisa gak","itu masih belum seberapa, coba kalau full di model seperti e-toll harus top up saldo dulu. tapi mudahnya tidak ada masalah dengan jujul. ha ha. btw bisa bayar lewat sopipay/gopay?"
503,Saidhan Efendi,Ribet karena blm terbiasa dan banyak jukirnya sudah ber umur...jadinya gaptek..,Rumit karena belum terbiasa dan banyak potongannya yang sudah tua.. jadi membingungkan..
504,Indra W P,Lanjutkannnn ??,Melanjutkan??
505,Putra Reog,Akan lebih baik jika diberi pelatihan dulu ...??,Akan lebih baik jika mereka diberi pelatihan terlebih dahulu...??
506,Fadillah,Ntar lama lama juga terbiasa... Semua itu butuh waktu... ????????,Butuh waktu lama untuk membiasakannya... Semua itu butuh waktu... ????????
507,@nanangnanang4542,Parkir sekarang pakai digital setiap petugas untuk mengurangi jukir liar sangat setuju berdasarkan perda 2024,Parkir kini sudah menggunakan digital setiap petugas untuk mengurangi parkir liar sangat setuju berdasarkan peraturan 2024
508,@rggaming4673,kebnyakan tukang parkir ponorogo. setiap masuk toko ada tukang parkir..jalan umum d buat parkir jadi nya makan jalan hampir separo.,sebagian besar juru parkirnya ponorogo. setiap masuk toko selalu ada tukang parkirnya.
509,@rggaming4673,kebnyakan tukang parkir ponorogo. setiap masuk toko ada tukang parkir..jalan umum d buat parkir jadi nya makan jalan hampir separo..,sebagian besar juru parkirnya ponorogo. setiap masuk toko pasti ada tukang parkirnya.
510,@user-nk8zu2no5y,kenapa gak pake parkir berlanggan pake stiker???menolak e parking ??? emange ini jalane mbah mu ??????,kenapa tidak pakai tiket parkir yang ada stikernya??? Apakah ini cara nenekmu??????
511,@dickykrisnanda3683,Turu ae kalau gak mau e-parking males kerjo minta upah??,Tidur kalau gak mau e-parking males minta gaji??
512,@zvq1827,"Sebuah terobosan yang HEBAT...!!!!
Alhamdulillah kota ini mempunyai ide yang brillian, saya pernah tinggal di beberapa kota dimana di salah satu kota tersebut perasaan tiap sejengkal tanah ada tukang parkir sampai-sampai mau beli barang sepele aja akhirnya ngga kebeli krn uang berkurang banyak untuk bayar parkir sana-sini. Mereka juga ngga setor ke pemerintah dengan jujur, motor hilang juga ngga mau ganti, uang parkir sebagian besar hanya utk kepentingan pribadi, bahkan utk pengusaan lahan parkir antara mereka jual-belinya nyampe ratusan juta bahkan milyaran. Hilangkan tukang parkir manual sebelum menjadi-jadi, ganti dg E-parkir agar uangnya bisa utk menambah BLT masyarakat miskin, kasih mereka cangkul & sabit agar lebih barokah karena parkir menyusahkan masyarakat, parkir manual tidak membantu masyarakat tapi lebih ke arah premanisme.","Sebuah terobosan BESAR...!!!!
Alhamdulillah kota ini mempunyai ide yang cemerlang, saya pernah tinggal di beberapa kota yang mana di salah satu kota tersebut terdapat tukang parkir disetiap jengkal tanahnya sampai-sampai jika ingin membeli sesuatu yang sepele akhirnya tidak jadi dibeli karena uangnya berkurang banyak untuk bayar parkir sana sini. Mereka juga tidak jujur ​​menyetor ke pemerintah, sepeda motor hilang dan tidak mau menggantinya, sebagian besar uang parkir hanya untuk kepentingan pribadi, bahkan untuk penguasaan tempat parkir diantara mereka, mereka jual beli ratusan. jutaan atau bahkan miliaran. Singkirkan petugas parkir manual sebelum jadi masalah, ganti dengan E-parking agar uangnya bisa digunakan untuk menambah BLT masyarakat miskin, beri mereka cangkul dan sabit agar lebih diberkati karena parkir adalah menjadi permasalahan bagi masyarakat, parkir manual tidak membantu masyarakat malah berujung pada perundungan."
513,@smartstudent4431,"E-Parking d pinggir jalan emang sulit, g enak, ruwet, mending benerin dulu lahan parkirnya biar ada jalur masuk sama jalur keluar. Jangan hanya krn lebih mudah jadi dikerjain duluan. Semua tuh ada tahapannya. Ibarat masak mie, didihkan dulu airnya jgn langsung masukin mie nya, nanti lodoh.","E-Parking di pinggir jalan susah banget, kurang bagus, ribet, mending perbaiki dulu area parkirnya biar ada pintu masuk dan keluarnya. Jangan hanya karena lebih mudah melakukannya terlebih dahulu. Semuanya punya panggung. Ibarat masak mie, rebus air dulu, jangan langsung masukkan mie, nanti becek."
514,@arifinsiregar608,Alah gabisa korup kalo pake E-parkir,Anda bisa korup jika menggunakan E-parkir
515,@indonesiahebat3936,Semoga dibayar tidak menggunung.,Mudah-mudahan tidak berlebihan.
516,@jakabaring923,Parkir liar lahan basah buat orang malas ????????,Parkir liar lahan basah untuk orang malas ????????
517,@robbycandra4298,"Ga mau ribet, ga usah kerja.","Saya tidak ingin ribet, saya tidak perlu bekerja."
518,@andrisetiawan8098,Alhamdulilah semoga tidak ada lagi parkir di alfa dan indomaret,Alhamdulillah semoga tidak ada lagi parkir di alfa dan indomaret
519,@adolfbastian661,Alasan rumit mrk ngambilin uang parkir tanpa karcis resmi enak bener gada bedanya sama KANG PALAK. Lanjutkan e-parking!!????,Rumitnya alasan mengambil uang parkir tanpa tiket resmi sebenarnya sama saja dengan KANG PALAK. Lanjutkan parkir elektronik!!????
520,@cowayofficial,"sebenarnya simpel aja sih, jalan itu yang bangun pemerintah, ya apapun kegiatan diatas nya menjadi milik pemerintah sepenuh nya, asal dilakukan dengan kejujuran dan transparansi..","Sederhana saja, jalan itu dibangun oleh pemerintah, apapun kegiatan di atas adalah milik pemerintah, asalkan dilakukan dengan jujur ​​dan transparan."
521,@ariusbudiman7105,JP ini salah satu kerjaan yang unfaedah.,JP merupakan salah satu pekerjaan yang tidak berguna.
522,@bekicot88,Rumit karena ga bisa masuk kantong sendiri,Rumit karena tidak muat di kantong sendiri
523,@satreaaji,"Bukan rumit, tp ga bisa masuk kantong, ya kan mana pernah jukir kasih karcis parkir ??","Nggak ribet, tapi nggak muat di kantong, pernah disuruh kasih tiket parkir dimana??"
524,@sanquotes2128,"Bukan masalah rumit, tpi penghasilan meraka pasti berkurang","Bukan persoalan rumit, tapi pendapatan mereka pasti berkurang"
525,@blackbeard4334,"Bukan RUMIT.
belom beradaptasi.
Klo yg ngomong JUKIR merepotkan karna dia ngak dapat lagi UANG GELAP dari parkiran.
Klo E parking sdh dipahami matilah para JUKIR seluruh NASIONAL","Tidak rumit.
jangan beradaptasi.
Ketika yang bilang JUKIR merepotkan karena tidak dapat UANG GELAP dari parkiran.
Ketika parkir E dipahami, JUKIR di seluruh negeri mati"
526,@genibumi,"Oo ponorogo yg kota reog itu ya , katanya daerah itu terkenal dng negeri balon nya","Ya, Ponorogo itu kota Reog, katanya daerah itu terkenal dengan negeri balonnya"
527,@adolfbastian661,"Dan semua dinas pemda hrs ""dipelototin"" krn pemasukan pendapatan daerah rawan dikorupsi??",Dan semua kantor pemerintah daerah harus “dicermati” karena pendapatan daerah rawan korupsi??
528,@indonesiahebat3936,"Semoga pengelola aplikasi dibayar tidak kabur alasan juga korban, ternyata tidak dianggarkan .",Semoga pengelola aplikasi berbayar tidak bingung karena yang jadi korban juga ternyata tidak dianggarkan.
529,@adityapratama1236,"main idea is good, but the device needs more efficient","ide utamanya bagus, tetapi perangkatnya perlu lebih efisien"
530,@suhartopwr4490,Pasti  rumit  parkir kok pakai sistem  elektronik  urus  para  korupsi  yg jumlahnya besar 2  parkir paling  2000 motor  mobil  50  000 ke bawah,"Parkirnya pasti ribet, kenapa pakai sistem elektronik untuk pemberantasan korupsi yang jumlahnya banyak, 2 tempat parkir, motor minimal 2000, mobil 50.000 kebawah"
531,@ahmadmuthi296,Alasanmu ae pak,"Alasan Anda, Pak"
532,@unboxingapapun6192,Untuk menjadi maju maka manusia hanya butuh adaptasi,"Untuk bisa maju, manusia hanya perlu beradaptasi"
533,@afendibekicot4685,"Bukan rumit kali , ytta ??",Tidak ribet kan??
534,@Reni-qm5ol,Aku mendukung mu pal E parking,Saya mendukung parkir mu pal E
535,@user-nk8zu2no5y,what do u mean by more efficient ??  is it too heavy ??? they want easy life,apa yang Anda maksud dengan lebih efisien??  apakah itu terlalu berat??? mereka menginginkan kehidupan yang mudah
536,@adityapratama1236, @user-nk8zu2no5y  blm prnah liat sistem parkiran di mall kah?, @ user-nk8zu2no5y Pernahkah Anda melihat sistem parkir di mall?
537,@Chank-fanaya,"Mungkin bingung cara pengoprasiannya ....tidak semua pandai,
Tidak semua mengerti huruf,
Tidak semua bisa baca.","Mungkin bingung cara pengoperasiannya....tidak semua orang pintar,
Tidak semua orang mengerti huruf,
Tidak semua orang bisa membaca."
538,@Nastar168,Namanya juga orang tua ?? coba anak muda udah pasti cepat itu ??,"Siapa nama orang tuanya juga?? coba anak muda, pasti cepat??"
